name,title,release_date
The_Battle_of_the_River_Plate_%28film%29,(Pursuit of the Graf Spee),30-11-1956
Mr._Bug_Goes_to_Town,"(a.k.a. ""Hoppity Goes to Town"")",05-12-1941
Alice_%281990_film%29,Alice,25-12-1990
All_Things_Fair,All Things Fair,03-11-1995
All_Things_Fair,All Things Fair,08-03-1996
All_Things_Fair,All Things Fair,29-05-1997
Almost_an_Angel,Almost an Angel,19-12-1990
Altars_of_Desire,Altars of Desire,05-02-1927
Anna_Karenina_%281935_film%29,Anna Karenina,30-08-1935
Au_Hasard_Balthazar,Au hasard Balthazar,25-05-1966
Baadal_%281985_film%29,Baadal,13-12-1985
Ballistic:_Ecks_vs._Sever,Ballistic: Ecks vs. Sever,20-09-2002
Berlin:_Symphony_of_a_Metropolis,Berlin: Symphony of a Great City,23-09-1927
Berlin:_Symphony_of_a_Metropolis,Berlin: Symphony of a Great City,13-05-1928
Big_Business_%281988_film%29,Big Business,10-06-1988
Birdy_%28film%29,Birdy,14-12-1984
Braindead_%28film%29,Braindead,13-08-1992
Braindead_%28film%29,Braindead,17-09-1992
Braindead_%28film%29,Braindead,16-01-1993
Braindead_%28film%29,Braindead,12-02-1993
Bugsy,Bugsy,13-12-1991
Bugsy,Bugsy,20-12-1991
Cal_%28film%29,Cal,24-08-1984
Cal_%28film%29,Cal,07-11-1984
Cal_%28film%29,Cal,31-05-1985
Cape_Fear_%281962_film%29,Cape Fear,12-04-1962
Cape_Fear_%281991_film%29,Cape Fear,13-11-1991
Castaway_%28film%29,Castaway,20-02-1986
Child%27s_Play_2,Child's Play 2,09-11-1990
Chopper_%28film%29,Chopper,03-08-2000
Chuck_&_Buck,Chuck & Buck,21-01-2000
Chuck_&_Buck,Chuck & Buck,14-07-2000
Churchill:_The_Hollywood_Years,Churchill: The Hollywood Years,03-12-2004
Coast_to_Coast_%281980_film%29,Coast to Coast,03-10-1980
Danger%21%21_Death_Ray,Danger!! Death Ray,28-01-1967
Danger%21%21_Death_Ray,Danger!! Death Ray,18-03-1968
Darkness_%282002_film%29,Darkness,03-10-2002
Darkness_%282002_film%29,Darkness,25-12-2004
Dawn_of_the_Dead_%282004_film%29,Dawn of the Dead,19-03-2004
Dogma_%28film%29,Dogma,12-11-1999
Dogs_is_Dogs,Dogs Is Dogs,21-11-1931
Dragon_%282006_film%29,Dragon,12-12-2006
Filantropica,Filantropica,15-03-2002
Foxy_Brown_%28film%29,Foxy Brown,05-04-1974
Frequency_%28film%29,Frequency,28-04-2000
Frequency_%28film%29,Frequency,16-06-2000
Gadar:_Ek_Prem_Katha,Gadar: Ek Prem Katha,15-06-2001
Garden_State_%28film%29,Garden State,16-01-2004
Garden_State_%28film%29,Garden State,28-07-2004
Groundhog_Day_%28film%29,Groundhog Day,12-02-1993
Group_Portrait_with_Lady_%28film%29,Group Portrait with Lady,25-05-1977
Hard_Eight_%28film%29,Hard Eight,28-02-1997
He_Who_Loves_in_a_Glass_House,He Who Loves in a Glass House,02-07-1971
Heaven_Can_Wait_%281943_film%29,Heaven Can Wait,11-08-1943
Heroes_Shed_No_Tears_%281986_film%29,Heroes Shed No Tears,05-09-1986
Hooper_%28film%29,Hooper,28-07-1978
I_Wake_Up_Screaming,I Wake Up Screaming,14-11-1941
If_Lucy_Fell,If Lucy Fell,08-03-1996
In_the_Mirror_of_Maya_Deren,In the Mirror of Maya Deren,15-03-2002
Jack_and_the_Beanstalk_%281931_cartoon%29,Jack and the Beanstalk,21-11-1931
Jagged_Edge_%28film%29,Jagged Edge,04-10-1985
Jesus_%281979_film%29,Jesus,19-10-1979
Starman_%28film%29,John Carpenter's,14-12-1984
Juwanna_Mann,Juwanna Mann,21-06-2002
Karma_%28film%29,Karma,08-08-1986
King_Kong_Lives,King Kong Lives,19-12-1986
Lamhe,Lamhe,22-11-1991
Little_Nicky,Little Nicky,10-11-2000
Love_&_Basketball,Love & Basketball,21-04-2000
Love_and_Money_%28film%29,Love and Money,12-02-1982
Mad_Love_%281995_film%29,Mad Love,26-05-1995
Man_of_the_House_%282005_film%29,Man of the House,25-02-2005
Martin_Lawrence_Live:_Runteldat,Martin Lawrence Live: Runteldat,02-08-2002
Martin_Roumagnac,Martin Roumagnac,18-12-1946
Martin_Roumagnac,Martin Roumagnac,03-09-1948
Maze_%28film%29,Maze,10-10-2000
Maze_%28film%29,Maze,09-11-2001
Minority_Report_%28film%29,Minority Report,21-06-2002
Miracle_Lane_2,Miracle Lane 2,13-05-2000
